2026-05-22 19:35:46 | Дія: Додано | ID: 1 | Назва: Оновити документацію | Статус: Pending
2026-05-22 19:35:46 | Дія: Додано | ID: 2 | Назва: Виправити критичний баг | Статус: Pending
2026-05-22 19:35:46 | Дія: Додано | ID: 3 | Назва: Сервер не відповідає | Статус: Pending
2026-05-22 19:35:46 | Дія: Додано | ID: 4 | Назва: Зробити рев'ю коду | Статус: Pending
2026-05-22 19:35:46 | Дія: Розпочато | ID: 3 | Назва: Сервер не відповідає | Статус: InProgress
2026-05-22 19:35:46 | Дія: Розпочато | ID: 2 | Назва: Виправити критичний баг | Статус: InProgress
2026-05-22 19:35:46 | Дія: Завершено | ID: 3 | Назва: Сервер не відповідає | Статус: Completed
2026-05-22 19:42:15 | Дія: Додано | ID: 1 | Назва: Оновити документацію | Статус: Pending
2026-05-22 19:42:15 | Дія: Додано | ID: 2 | Назва: Виправити критичний баг | Статус: Pending
2026-05-22 19:42:15 | Дія: Додано | ID: 3 | Назва: Сервер не відповідає | Статус: Pending
2026-05-22 19:42:15 | Дія: Додано | ID: 4 | Назва: Зробити рев'ю коду | Статус: Pending
2026-05-22 19:44:01 | Дія: Додано | ID: 1 | Назва: Оновити документацію | Статус: Pending
2026-05-22 19:44:01 | Дія: Додано | ID: 2 | Назва: Виправити критичний баг | Статус: Pending
2026-05-22 19:44:01 | Дія: Додано | ID: 3 | Назва: Сервер не відповідає | Статус: Pending
2026-05-22 19:44:01 | Дія: Додано | ID: 4 | Назва: Зробити рев'ю коду | Статус: Pending
2026-05-22 19:44:10 | Дія: Додано | ID: 1 | Назва: Оновити документацію | Статус: Pending
2026-05-22 19:44:10 | Дія: Додано | ID: 2 | Назва: Виправити критичний баг | Статус: Pending
2026-05-22 19:44:10 | Дія: Додано | ID: 3 | Назва: Сервер не відповідає | Статус: Pending
2026-05-22 19:44:10 | Дія: Додано | ID: 4 | Назва: Зробити рев'ю коду | Статус: Pending
2026-05-22 19:47:58 | Розпочато | ID: 1 | Оновити документацію | InProgress
2026-05-22 19:48:07 | Завершено | ID: 3 | Сервер не відповідає | Completed
